,name,price,sex,jewel_type,brand,material,color,index,age,income
35,Bracelet Tommy Hilfiger,69,Men,Bracelet,Tommy Hilfiger,Stainless Steel,Rose,3107,32,<=50K
36,Bracelet Tommy Hilfiger,49,Unisex,Bracelet,Tommy Hilfiger,Stainless Steel,White,3184,33,>50K
37,Cufflinks Tommy Hilfiger,49,Men,Cuff links,Tommy Hilfiger,Stainless Steel,Rose,3235,33,<=50K
38,Cufflinks Tommy Hilfiger,59,Men,Cuff links,Tommy Hilfiger,Stainless Steel,Gold,2057,29,<=50K
39,Earrings Tommy Hilfiger,69,Women,Earrings,Tommy Hilfiger,Stainless Steel,Gold,2111,30,<=50K
40,Earrings Rings PDPAOLA Medium Cloud Gold,59,Women,Earrings,PDPAOLA,Silver,Gold,4929,37,>50K
41,Earrings Rings PDPAOLA Mini Cloud Gold,55,Women,Earrings,PDPAOLA,Silver,Gold,6341,42,<=50K
42,Earrings PDPAOLA Musketeer Gold,51,Women,Earrings,PDPAOLA,Silver,Gold,7244,46,<=50K
43,Earrings Rings PDPAOLA Supreme Cloud Gold,65,Women,Earrings,PDPAOLA,Silver,Gold,6457,43,<=50K
44,Earrings with diamonds,1340,Women,Earrings,Haritidis,Gold 18ct.,Gold,4741,37,>50K
45,Necklace with emerald,1140,Women,Necklaces,Haritidis,Gold 18ct.,White,3355,33,<=50K
46,Necklace with sapphire,1090,Women,Necklaces,Haritidis,Gold 18ct.,White,6650,43,<=50K
47,Necklace with sapphire,1890,Women,Necklaces,Haritidis,Gold 18ct.,White,4229,36,<=50K
48,Necklace with topaz,920,Women,Necklaces,Haritidis,Gold 18ct.,White,5260,38,>50K
49,Necklace with diamonds,840,Women,Necklaces,Haritidis,Gold 18ct.,Gold,7123,46,>50K
50,Necklace with topaz,780,Women,Necklaces,Haritidis,Gold 18ct.,White,7325,46,<=50K
51,Earrings with blue topaz,1190,Women,Earrings,Haritidis,Gold 18ct.,White,901,26,<=50K
52,Earrings with topaz,1790,Women,Earrings,Haritidis,Gold 18ct.,White,5155,38,>50K
53,Earrings with sapphire,1750,Women,Earrings,Haritidis,Gold 18ct.,White,348,23,<=50K
54,Ring with emerald,1150,Women,Ring,Haritidis,Gold 18ct.,White,6584,43,>50K
55,Ring with Tanzanite,730,Women,Ring,Haritidis,Gold 18ct.,White,4952,37,>50K
56,Ring with topaz,900,Women,Ring,Haritidis,Gold 18ct.,White,577,25,<=50K
57,Ring with morganite,1500,Women,Ring,Haritidis,Gold 18ct.,Rose,4935,37,>50K
58,Ring with sapphire,1250,Women,Ring,Haritidis,Gold 18ct.,White,1489,28,<=50K
59,Ring halfway,750,Women,Ring,Haritidis,Gold 18ct.,Gold,616,25,<=50K
60,Necklace Stavros,115,Women,Necklaces,Haritidis,Gold 14ct.,Gold,3691,34,<=50K
61,Stavros with diamonds,620,Women,Cross,Haritidis,Gold 18ct.,Rose,2123,30,>50K
62,Stavros with diamonds,590,Women,Cross,Haritidis,Gold 18ct.,White,6032,41,<=50K
63,Pearl ring,260,Women,Ring,Haritidis,Gold 14ct.,Gold,1918,29,>50K
64,Ring woman,200,Women,Ring,Haritidis,Gold 14ct.,Gold,7823,49,<=50K
65,Ring woman,195,Women,Ring,Haritidis,Gold 14ct.,Gold,352,23,<=50K
66,Ring with hearts,225,Women,Ring,Haritidis,Gold 14ct.,Gold,2400,30,>50K
67,Ring bond,150,Women,Ring,Haritidis,Gold 14ct.,Gold,3966,35,<=50K
68,Ring boob,280,Women,Ring,Haritidis,Gold 14ct.,Rose,497,24,<=50K
69,Ring boob,255,Women,Ring,Haritidis,Gold 14ct.,Gold,2398,30,<=50K
70,Ring halfway,240,Women,Ring,Haritidis,Gold 14ct.,Gold,7416,47,>50K
71,Bracelet with prank,135,Women,Bracelet,Haritidis,Gold 14ct.,Gold,1849,29,<=50K
72,Stavros female,165,Women,Cross,Haritidis,Gold 14ct.,Gold,6053,41,<=50K
73,Stavros female,45,Women,Cross,Haritidis,Gold 14ct.,Gold,1802,29,<=50K
74,Stavros female,45,Women,Cross,Haritidis,Gold 14ct.,White,1129,27,<=50K
75,Bracelet riviera,440,Women,Bracelet,Haritidis,Gold 14ct.,Gold,6564,43,<=50K
76,Bracelet riviera,325,Women,Bracelet,Haritidis,Gold 14ct.,Gold,2975,32,>50K
77,Bracelet riviera,325,Women,Bracelet,Haritidis,Gold 14ct.,Rose,4851,37,<=50K
78,Ring rosette,165,Women,Ring,Haritidis,Gold 14ct.,Rose,7716,48,>50K
79,Ring rosette,165,Women,Ring,Haritidis,Gold 14ct.,Gold,1243,27,>50K
80,Necklace woman,225,Women,Necklaces,Haritidis,Gold 14ct.,Gold,2880,32,>50K
81,Necklace woman,210,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1194,27,<=50K
82,Necklace cycle,165,Women,Necklaces,Haritidis,Gold 14ct.,Rose,6733,44,>50K
83,Necklace Stavros,105,Women,Necklaces,Haritidis,Gold 14ct.,Gold,7387,47,>50K
84,Necklace woman,195,Women,Necklaces,Haritidis,Gold 14ct.,Gold,3346,33,<=50K
85,Bracelet mama,130,Women,Bracelet,Haritidis,Gold 14ct.,White,2252,30,<=50K
86,Bracelet riviera,300,Women,Bracelet,Haritidis,Gold 14ct.,White,6842,44,<=50K
87,Bracelet Rosso Amante,94,Men,Bracelet,Rosso Amante,Stainless Steel,White,3495,34,<=50K
88,Bracelet Rosso Amante,64,Men,Bracelet,Rosso Amante,Stainless Steel,White,7193,46,>50K
89,Bracelet Rosso Amante.,79,Men,Bracelet,Rosso Amante,Stainless Steel,White,2318,30,<=50K
90,Necklace PDPAOLA Flame Silver,61,Women,Necklaces,PDPAOLA,Silver,White,7142,46,>50K
91,March with kite,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,3517,34,>50K
92,March with eye - swallow,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,4936,37,<=50K
93,March with swallow,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,6870,44,>50K
94,Stavros with diamonds,350,Women,Cross,Haritidis,Gold 18ct.,Rose,753,25,<=50K
95,Necklace with ruby,600,Women,Necklaces,Haritidis,Gold 18ct.,White,5046,38,<=50K
96,Necklace with sapphire,500,Women,Necklaces,Haritidis,Gold 18ct.,White,2452,31,>50K
97,Necklace with sapphire,620,Women,Necklaces,Haritidis,Gold 18ct.,White,7467,47,<=50K
98,Necklace with sapphire,820,Women,Necklaces,Haritidis,Gold 18ct.,White,4266,36,<=50K
99,Necklace with ruby,530,Women,Necklaces,Haritidis,Gold 18ct.,Rose,2269,30,<=50K
100,Necklace with emerald,590,Women,Necklaces,Haritidis,Gold 18ct.,Gold,5662,40,>50K
101,Necklace with topaz,520,Women,Necklaces,Haritidis,Gold 18ct.,Gold,5298,39,>50K
102,Necklace with morganite,530,Women,Necklaces,Haritidis,Gold 18ct.,Rose,906,26,<=50K
103,Necklace with sitrin,520,Women,Necklaces,Haritidis,Gold 18ct.,Gold,6237,42,>50K
104,Necklace with amethyst,640,Women,Necklaces,Haritidis,Gold 18ct.,White,413,24,<=50K
105,Necklace with topaz,530,Women,Necklaces,Haritidis,Gold 18ct.,White,7576,48,<=50K
106,Necklace with topaz,580,Women,Necklaces,Haritidis,Gold 18ct.,White,7926,50,<=50K
107,Necklace with sapphire,950,Women,Necklaces,Haritidis,Gold 18ct.,White,3852,34,<=50K
108,Bracelet Very Gavello Tattoo,290,Unisex,Bracelet,Very Gavello,Gold 9ct.,White,3222,33,<=50K
109,Earrings Very Gavello Angel,540,Women,Earrings,Very Gavello,Gold 9ct.,Rose,5848,40,<=50K
110,Ring Very Gavello Viper Pave Diamonds,1210,Unisex,Ring,Very Gavello,Gold 9ct.,Rose,6176,42,>50K
111,Necklace Very Gavello Yael,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,1879,29,>50K
112,Necklace Very Gavello Triangle,155,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,1665,28,<=50K
113,Stavros Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,446,24,<=50K
114,Stavros Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,4414,36,<=50K
115,Stavros Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,7150,46,>50K
116,Stavros Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,2016,29,<=50K
117,Stavros Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,2501,31,>50K
118,Stavros Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,2715,31,>50K
119,Stavros Very Gavello Tattoo,330,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,6000,41,>50K
120,Stavros Very Gavello Tattoo,330,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,5539,39,<=50K
121,Stavros Very Gavello Tattoo Pave,805,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,6339,42,<=50K
122,Stavros Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,507,24,<=50K
123,Stavros Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,3424,33,<=50K
124,Stavros Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,2308,30,<=50K
125,Necklace Very Gavello Stella,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,7406,47,>50K
126,Stavros Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,5064,38,<=50K
127,Stavros Very Gavello Spirit,275,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,11,22,>50K
128,Stavros Very Gavello Spirit,410,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,29,22,<=50K
129,Necklace Very Gavello Open Heart,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,3937,35,>50K
130,Necklace Very Gavello Matix Heart Multi,230,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,6882,44,<=50K
131,Necklace Very Gavello Matix Heart Multi,340,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,7409,47,>50K
132,Necklace Very Gavello Lucky,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,775,25,<=50K
133,Necklace Very Gavello Girl,200,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,5078,38,<=50K
134,Stavros Very Gavello Spark,225,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,6863,44,<=50K
135,Stavros Very Gavello Spark,450,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,6746,44,>50K
136,Necklace Very Gavello Boy,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,7497,47,>50K
137,Stavros Very Gavello Bubble Cross,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,6555,43,>50K
138,Stavros Very Gavello Bubble Cross,225,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,2204,30,<=50K
139,Stavros Very Gavello Bubble Cross,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,385,24,<=50K
140,Bracelet Very Gavello Matix-Tattoo,680,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,6751,44,>50K
141,Monoch Ring,820,Women,Ring,Haritidis,Gold 18ct.,White,2966,32,<=50K
142,Monoch Ring,860,Women,Ring,Haritidis,Gold 18ct.,White,954,26,<=50K
143,Ring halfway,520,Women,Ring,Haritidis,Gold 18ct.,White,7488,47,<=50K
144,Monoch Ring,800,Women,Ring,Haritidis,Gold 18ct.,White,4603,36,<=50K
145,Earrings with ruby,700,Women,Earrings,Haritidis,Gold 18ct.,Rose,129,23,<=50K
146,Earrings with sapphire,980,Women,Earrings,Haritidis,Gold 18ct.,White,6748,44,>50K
147,Earrings with emerald,970,Women,Earrings,Haritidis,Gold 18ct.,Gold,3332,33,>50K
148,Earrings with sapphire,1120,Women,Earrings,Haritidis,Gold 18ct.,White,4849,37,>50K
149,Earrings with sapphire,760,Women,Earrings,Haritidis,Gold 18ct.,White,7341,47,>50K
150,Earrings with topaz,700,Women,Earrings,Haritidis,Gold 18ct.,Gold,111,23,>50K
151,Earrings with morganite,790,Women,Earrings,Haritidis,Gold 18ct.,Rose,6881,44,<=50K
152,Earrings with sitrin,750,Women,Earrings,Haritidis,Gold 18ct.,Gold,2903,32,<=50K
153,Earrings with amethyst,920,Women,Earrings,Haritidis,Gold 18ct.,White,868,26,<=50K
154,Earrings with topaz,640,Women,Earrings,Haritidis,Gold 18ct.,White,2977,32,<=50K
155,Earrings with sapphire,1480,Women,Earrings,Haritidis,Gold 18ct.,White,3305,33,>50K
156,Ring with ruby,860,Women,Ring,Haritidis,Gold 18ct.,White,2537,31,<=50K
157,Ring halfway,520,Women,Ring,Haritidis,Gold 18ct.,Gold,2634,31,<=50K
158,Ring halfway,420,Women,Ring,Haritidis,Gold 18ct.,White,4873,37,<=50K
159,Monoch Ring,540,Women,Ring,Haritidis,Gold 18ct.,White,2218,30,<=50K
160,Ring with sapphire,990,Women,Ring,Haritidis,Gold 18ct.,White,6722,44,<=50K
161,Ring with topaz,620,Women,Ring,Haritidis,Gold 18ct.,White,2620,31,<=50K
162,Monoch Ring,740,Women,Ring,Haritidis,Gold 18ct.,White,2417,30,<=50K
163,Monoch Ring,980,Women,Ring,Haritidis,Gold 18ct.,White,6887,44,>50K
164,Ring with emerald,660,Women,Ring,Haritidis,Gold 18ct.,Gold,5238,38,<=50K
165,Ring with emerald,800,Women,Ring,Haritidis,Gold 18ct.,Gold,7739,49,<=50K
166,Ring with sapphire,900,Women,Ring,Haritidis,Gold 18ct.,White,3909,35,>50K
167,Ring with sapphire,640,Women,Ring,Haritidis,Gold 18ct.,White,7774,49,>50K
168,Ring with ruby,880,Women,Ring,Haritidis,Gold 18ct.,Rose,1222,27,<=50K
169,Ring with emerald,800,Women,Ring,Haritidis,Gold 18ct.,Gold,2881,32,>50K
170,Ring with topaz,560,Women,Ring,Haritidis,Gold 18ct.,Gold,2683,31,<=50K
171,Ring with sitrin,680,Women,Ring,Haritidis,Gold 18ct.,Gold,3856,34,<=50K
172,Bracelet Ania Haie Midnight Fringe Gold,49,Women,Bracelet,Ania Haie,Silver,Gold,655,25,<=50K
173,Ring halfway,740,Women,Ring,Haritidis,Gold 18ct.,Rose,4953,37,<=50K
174,Ring halfway,740,Women,Ring,Haritidis,Gold 18ct.,Gold,1923,29,>50K
175,Ring halfway,500,Women,Ring,Haritidis,Gold 18ct.,White,2872,32,>50K
176,Ring halfway,820,Women,Ring,Haritidis,Gold 18ct.,White,4768,37,>50K
177,Ring late,960,Women,Ring,Haritidis,Gold 18ct.,Gold,1061,26,<=50K
178,Ring with ruby,660,Women,Ring,Haritidis,Gold 18ct.,Rose,7786,49,>50K
179,Ring with sapphire,690,Women,Ring,Haritidis,Gold 18ct.,White,158,23,<=50K
180,Ring with ruby,870,Women,Ring,Haritidis,Gold 18ct.,Rose,724,25,<=50K
181,Ring with sapphire,1000,Women,Ring,Haritidis,Gold 18ct.,White,6548,43,<=50K
182,Ring with emerald,420,Women,Ring,Haritidis,Gold 18ct.,Gold,4524,36,<=50K
183,Ring with ruby,890,Women,Ring,Haritidis,Gold 18ct.,Rose,7914,50,<=50K
184,Ring with sapphire,780,Women,Ring,Haritidis,Gold 18ct.,White,7304,46,>50K
185,Ring with sapphire,990,Women,Ring,Haritidis,Gold 18ct.,White,2520,31,<=50K
186,Ring with sapphire,600,Women,Ring,Haritidis,Gold 18ct.,White,7374,47,<=50K
187,Ring with morganite,570,Women,Ring,Haritidis,Gold 18ct.,Rose,6354,42,>50K
188,Ring with topaz,620,Women,Ring,Haritidis,Gold 18ct.,White,4488,36,<=50K
189,Ring halfway,640,Women,Ring,Haritidis,Gold 18ct.,White,2870,32,>50K
190,Ring halfway,640,Women,Ring,Haritidis,Gold 18ct.,Rose,3868,35,<=50K
191,Earrings Rings Spike Huggie Hoop Silver,49,Women,Earrings,Ania Haie,Silver,White,640,25,<=50K
192,Earrings Ania Haie Midnight Stud Gold,45,Women,Earrings,Ania Haie,Silver,Gold,7573,48,>50K
193,Necklace Ania Haie Midnight Gold,55,Women,Necklaces,Ania Haie,Silver,Gold,4485,36,>50K
194,Necklace Ania Haie Midnight Star Gold,59,Women,Necklaces,Ania Haie,Silver,Gold,1714,28,<=50K
195,Earrings Rings Ania Haie Midnight Hoop Gold,89,Women,Earrings,Ania Haie,Silver,Gold,2930,32,<=50K
196,Necklace Ania Haie Ancient Minoan Silver,55,Women,Necklaces,Ania Haie,Silver,Rose,7044,45,<=50K
197,Earrings Rings Ania Haie Boreas Hoop Silver,45,Women,Earrings,Ania Haie,Silver,Rose,7904,50,<=50K
198,Bracelet Ania Haie Ancient Minoan Silver,35,Women,Bracelet,Ania Haie,Silver,Rose,7813,49,>50K
199,Necklace Ania Haie Ancient Minoan Silver,55,Women,Necklaces,Ania Haie,Silver,Rose,5103,38,>50K
200,Ring Just Cavalli Rock,59,Women,Earrings,Just Cavalli,Stainless Steel,Gold,6051,41,<=50K
201,Necklace PDPAOLA Celeste Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,3086,32,>50K
202,Necklace PDPAOLA Lavender Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,3955,35,<=50K
203,Necklace PDPAOLA Olive Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,4619,37,>50K
204,Necklace PDPAOLA Champagne Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,6066,41,<=50K
205,Necklace PDPAOLA White Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,1386,27,<=50K
206,Necklace PDPAOLA Black Heart Gold,49,Women,Necklaces,PDPAOLA,Silver,Gold,6410,42,<=50K
207,Necklace PDPAOLA Black Heart Silver,49,Women,Necklaces,PDPAOLA,Silver,Rose,5044,38,<=50K
208,Earrings rings,100,Women,Earrings,Haritidis,Gold 14ct.,"White, Gold & Rose",3814,34,>50K
209,Monoch Ring,2950,Women,Ring,Haritidis,Gold 18ct.,White,6304,42,>50K
210,Bracelet with oval cord,160,Women,Bracelet,Haritidis,Gold 14ct.,Gold,7264,46,<=50K
211,Necklace with oval cord,190,Women,Necklaces,Haritidis,Gold 14ct.,Gold,5492,39,<=50K
212,Single Ring,790,Women,Ring,Haritidis,Gold 18ct.,White,3717,34,<=50K
213,Single Ring,640,Women,Ring,Haritidis,Gold 18ct.,White,3808,34,<=50K
214,Bracelet Tommy Hilfiger Brown,49,Men,Bracelet,Tommy Hilfiger,Stainless Steel,White,2522,31,<=50K
215,Earrings Tommy Hilfiger,49,Women,Earrings,Tommy Hilfiger,Stainless Steel,White,54,22,<=50K
216,Necklace Tommy Hilfiger,49,Women,Necklaces,Tommy Hilfiger,Stainless Steel,White,5871,41,<=50K
217,Necklace Tommy Hilfiger,59,Women,Necklaces,Tommy Hilfiger,Stainless Steel,Gold,4021,35,<=50K
218,Earrings Tommy Hilfiger,59,Women,Earrings,Tommy Hilfiger,Stainless Steel,Gold,5233,38,>50K
219,Earrings Tommy Hilfiger,59,Women,Earrings,Tommy Hilfiger,Stainless Steel,Rose,6171,42,>50K
220,Earrings Tommy Hilfiger,49,Women,Earrings,Tommy Hilfiger,Stainless Steel,White,6636,43,>50K
221,Bracelet Tommy Hilfiger,69,Women,Bracelet,Tommy Hilfiger,Stainless Steel,Gold,573,25,<=50K
222,Bracelet Tommy Hilfiger,69,Women,Bracelet,Tommy Hilfiger,Stainless Steel,Rose,2992,32,<=50K
223,Bracelet Tommy Hilfiger,49,Women,Bracelet,Tommy Hilfiger,Stainless Steel,White,5092,38,<=50K
224,Necklace Tommy Hilfiger,59,Women,Necklaces,Tommy Hilfiger,Stainless Steel,Gold,4955,37,>50K
225,Earrings Tommy Hilfiger,49,Women,Earrings,Tommy Hilfiger,Stainless Steel,Rose,373,24,>50K
226,Bracelet Tommy Hilfiger,69,Women,Bracelet,Tommy Hilfiger,Stainless Steel,Gold,7469,47,<=50K
227,Necklace Tommy Hilfiger,79,Women,Necklaces,Tommy Hilfiger,Stainless Steel,Rose,2896,32,<=50K
228,Bracelet Rosso Amante,55,Men,Bracelet,Rosso Amante,Stainless Steel,White,1382,27,<=50K
229,Bracelet Rosso Amante,79,Men,Bracelet,Rosso Amante,Stainless Steel,White,5160,38,>50K
230,Bracelet Rosso Amante,99,Men,Bracelet,Rosso Amante,Stainless Steel,White,3211,33,<=50K
231,Bracelet Rosso Amante,78,Men,Bracelet,Rosso Amante,Stainless Steel,White,5257,38,>50K
232,Bracelet Rosso Amante,69,Men,Bracelet,Rosso Amante,Stainless Steel,White,529,24,<=50K
233,Bracelet Rosso Amante,77,Men,Bracelet,Rosso Amante,Stainless Steel,White,6088,41,<=50K
234,Necklace Rosso Amante,44,Men,Necklaces,Rosso Amante,Stainless Steel,White,7396,47,>50K
235,Ring Rosso Amante,29,Men,Ring,Rosso Amante,Stainless Steel,White,2095,30,>50K
236,Necklace pearl,220,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1448,28,<=50K
237,Earrings with topaz,770,Women,Earrings,Haritidis,Gold 18ct.,White,2364,30,<=50K
238,Ring with amethyst,550,Women,Ring,Haritidis,Gold 18ct.,White,4503,36,>50K
239,Ring with topaz,550,Women,Ring,Haritidis,Gold 18ct.,Rose,841,26,<=50K
240,Stavros with diamonds,700,Women,Cross,Haritidis,Gold 18ct.,Rose,7359,47,>50K
241,Necklace Key of Love - Valentine's Day 2021,75,Women,Necklaces,Haritidis,Gold 9ct.,Gold,3891,35,<=50K
242,Necklace Very Gavello Cuore,395,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,3376,33,<=50K
243,Necklace Very Gavello Tattoo,735,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,2717,31,<=50K
244,Necklace Very Gavello Bling,235,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,4314,36,>50K
245,Necklace Very Gavello Bling,345,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,1465,28,>50K
246,Earrings Very Gavello Tattoo,585,Women,Earrings,Very Gavello,Gold 9ct.,Rose,2357,30,>50K
247,Necklace PDPAOLA Zodiac Cancer,65,Women,Necklaces,PDPAOLA,Silver,Gold,3036,32,<=50K
248,Necklace PDPAOLA Zodiac Gemini,65,Women,Necklaces,PDPAOLA,Silver,Gold,770,25,<=50K
249,Necklace PDPAOLA Zodiac Taurus,65,Women,Necklaces,PDPAOLA,Silver,Gold,6079,41,<=50K
250,Necklace PDPAOLA Zodiac Aries,65,Women,Necklaces,PDPAOLA,Silver,Gold,4300,36,>50K
251,Necklace PDPAOLA Zodiac Pisces,65,Women,Necklaces,PDPAOLA,Silver,Gold,6737,44,>50K
252,Earrings PDPAOLA Zodiac Capricorn,59,Women,Earrings,PDPAOLA,Silver,Gold,7853,49,<=50K
253,Necklace PDPAOLA Zodiac Aquarius,65,Women,Necklaces,PDPAOLA,Silver,Gold,7097,45,<=50K
254,Earrings PDPAOLA Zodiac Sagittarius,59,Women,Earrings,PDPAOLA,Silver,Gold,867,26,<=50K
255,Earrings PDPAOLA Zodiac Scorpio,59,Women,Earrings,PDPAOLA,Silver,Gold,1707,28,<=50K
256,Earrings PDPAOLA Zodiac Libra,59,Women,Earrings,PDPAOLA,Silver,Gold,7531,47,<=50K
257,Earrings PDPAOLA Zodiac Virgo,59,Women,Earrings,PDPAOLA,Silver,Gold,1079,26,<=50K
258,Earrings PDPAOLA Zodiac Leo,59,Women,Earrings,PDPAOLA,Silver,Gold,1613,28,<=50K
259,Earrings with diamonds,1000,Women,Earrings,Haritidis,Gold 18ct.,White,3317,33,>50K
260,Necklace monoch with diamond,300,Women,Necklaces,Haritidis,Gold 18ct.,White,5273,39,>50K
261,Earrings with diamond,420,Women,Earrings,Haritidis,Gold 18ct.,White,125,23,<=50K
